88,125,1015
75,149,1015
102,147,1016
105,147,1015
107,148,1017
107,149,1016
108,150,1017
108,149,1015
108,148,1015
107,149,1014
106,148,1016
104,148,1016
105,147,1015
108,148,1015
109,148,1014
108,148,1016
108,149,1016
108,149,1015
108,148,1016
107,146,1015
108,148,1015
106,147,1015
107,148,1015
108,148,1016
107,148,1017
107,150,1015
108,149,1017
108,148,1016
105,147,1016
105,147,1017
106,148,1017
106,147,1015
108,149,1016
109,148,1015
106,150,1015
107,149,1016
